,time,sector,camera,ccd,ra,dec,column,row,vmag,hmag
89,3818.450800753635,92,1,2,285.7246951132652,-18.700236143176088,566.5914168243276,146.81395133576817,19.15960913280338,
90,3818.5008007534375,92,1,2,285.71413,-18.700040000000005,566.7974639019596,148.62394500019292,19.158,
91,3818.55080075324,92,1,2,285.70354106514463,-18.699844020918306,567.0037584658801,150.43781527838402,19.15638415357426,
92,3818.600800753508,92,1,2,285.69292857345016,-18.699648399431204,567.2102615874794,152.25551978049347,19.154763842373814,
93,3818.6508007533103,92,1,2,285.6822927701411,-18.699453333033887,567.4169339701559,154.07701956637715,19.15314206124968,
94,3818.700800753578,92,1,2,285.6716339000416,-18.699259019214267,567.6237363402365,155.90227577223487,19.15152180499251,
95,3818.75080075338,92,1,2,285.66095220836826,-18.699065655467514,567.8306294316477,157.7312494748837,19.14990606845332,
96,3818.800800753182,92,1,2,285.650247940035,-18.698873439283346,568.037573999464,159.5639018107369,19.1482978464378,
97,3818.85080075345,92,1,2,285.63952133995036,-18.69868256815154,568.2445308141989,161.40019392494978,19.14670013375195,
98,3818.900800753252,92,1,2,285.62877265331787,-18.698493239567195,568.4514606560768,163.24008691999035,19.145115925246344,
99,3818.9508007535196,92,1,2,285.61800212493625,-18.69830565101834,568.6583243285879,165.0835419754209,19.143548215712354,
100,3819.000800753322,92,1,2,285.60721,-18.698120000000003,568.8650826431448,166.93052021089588,19.142,
101,3819.050800753124,92,1,2,285.59639651856816,-18.69793645049994,569.0717023814092,168.7809828995647,19.140473024052632,
102,3819.1008007533915,92,1,2,285.58556190137597,-18.697755032497863,569.2781741333667,170.6348917002745,19.13896403836317,
103,3819.1508007531934,92,1,2,285.57470636462756,-18.697575742476495,569.4844944407674,172.49220833200326,19.137468544603827,
104,3819.2008007534614,92,1,2,285.563830124119,-18.69739857691184,569.6906598611984,174.35289460238087,19.135982044390776,
105,3819.2508007532633,92,1,2,285.55293339604697,-18.697223532286557,569.8966669527397,176.2169122693967,19.13450003939581,
106,3819.3008007530657,92,1,2,285.5420163963,-18.69705060507833,570.1025122874397,178.0842231626482,19.13301803124918,
107,3819.3508007533333,92,1,2,285.5310793407617,-18.69687979176494,570.3081924455976,179.9547891315796,19.131531521581138,
108,3819.4008007531356,92,1,2,285.5201224456167,-18.69671108882891,570.5137040100434,181.8285719931312,19.130036012063467,
109,3819.4508007534037,92,1,2,285.50914592663736,-18.696544492746447,570.719043579586,183.70553365382014,19.128527004312353,
110,3819.500800753206,92,1,2,285.49815,-18.696380000000005,570.9242077537339,185.585635970169,19.127,
111,3819.5508007530084,92,1,2,285.48713486075263,-18.696217627085993,571.1291899731905,187.4688448722897,19.125451750249663,
112,3819.6008007532764,92,1,2,285.47610062066974,-18.69605747057537,571.3339709948647,189.35514230901043,19.12388400415636,
113,3819.650800753079,92,1,2,285.46504737101293,-18.695899647062163,571.5385284041306,191.24451418042167,19.12229976035211,
114,3819.7008007533473,92,1,2,285.4539752026283,-18.695744273134494,571.742839800979,193.1369464580938,19.12070201741027,
115,3819.7508007531496,92,1,2,285.44288420677003,-18.695591465386308,571.9468827847986,195.03242504430594,19.119093773963435,
116,3819.8008007529515,92,1,2,285.4317744743787,-18.695441340407193,572.1506349677356,196.9309358953701,19.117478028599578,
117,3819.8508007532196,92,1,2,285.4206460963901,-18.695294014786846,572.3540739689744,198.83246496886085,19.115857779906406,
118,3819.9008007530215,92,1,2,285.4094991640467,-18.695149605119074,572.5571774090969,200.73699817038272,19.11423602651692,
119,3819.9508007532886,92,1,2,285.3983337681718,-18.695008227992226,572.7599229233575,202.64452147757316,19.112615767003785,
120,3820.00080075309,92,1,2,285.38715,-18.69487,572.9622881465581,204.55502079824623,19.111,
121,3820.0508007528915,92,1,2,285.375947958591,-18.694735011159683,573.1642552490046,206.46848012804074,19.10939097498357,
122,3820.100800753158,92,1,2,285.3647277755646,-18.694603245198923,573.3658244979058,208.38487560252406,19.10778794499387,
123,3820.150800752959,92,1,2,285.3534895909916,-18.69447465927662,573.5670006818855,210.30418135202984,19.106189414005346,
